oad_Type,Road_Condition,Weather_Condition,Vehicle_Speed,Speed_Limit,Vehicle_Type,Temperature,Humidity,Visibility,T_Junction,Crossing,Stop_Signal,Railway_Crossing,Speed_Breaker,Severity_Level
Rural,Dry,Storm,68,40,Truck,25,87,14,0,1,1,0,0,Medium
Urban,Dry,Cloudy,31,50,Bike,30,54,73,1,0,0,0,1,Low
Highway,Damaged,Storm,111,80,Truck,22,93,24,1,1,0,1,0,High
Urban,Dry,Fog,31,50,Car,22,98,44,1,0,0,1,0,Low
Highway,Dry,Rainy,86,80,Bike,27,76,54,1,0,1,0,0,Medium
Urban,Dry,Cloudy,80,50,Car,20,60,10,1,1,0,0,1,High
Highway,Dry,Rainy,69,80,Truck,29,81,49,1,0,1,1,0,Medium
Highway,Wet,Sunny,111,80,Bus,37,37,93,1,0,1,1,1,Medium
Urban,Dry,Rainy,63,50,Bike,22,78,59,1,0,1,1,0,Medium
Rural,Damaged,Rainy,21,40,Truck,24,94,41,1,1,0,0,0,Medium
Rural,Dry,Sunny,53,40,Bus,30,40,86,1,0,0,0,0,Low
Urban,Dry,Storm,51,50,Bike,24,89,35,0,1,1,1,1,High
Highway,Dry,Fog,71,80,Truck,23,88,20,1,1,1,1,1,Medium
Rural,Dry,Sunny,55,40,Bike,32,30,79,1,1,1,1,1,Medium
Urban,Dry,Cloudy,54,50,Bike,27,52,62,0,0,0,0,1,Low
Rural,Dry,Fog,23,40,Bike,21,89,26,1,0,1,0,0,Medium
Urban,Dry,Sunny,50,50,Bike,33,47,89,1,0,0,1,1,Low
Urban,Dry,Cloudy,57,50,Bus,28,66,81,1,1,1,0,1,Medium
Urban,Wet,Cloudy,73,50,Bike,24,67,87,0,1,0,0,0,Medium
Urban,Dry,Rainy,38,50,Truck,27,80,33,0,1,0,0,1,Medium
Highway,Dry,Fog,66,80,Car,21,89,44,0,0,0,1,1,Low
Highway,Wet,Storm,98,80,Car,21,98,44,0,0,0,0,0,Medium
Highway,Wet,Fog,75,80,Bus,23,90,17,0,0,1,0,1,Medium
Urban,Dry,Cloudy,52,50,Bus,26,67,92,0,1,1,1,0,Medium
Rural,Dry,Sunny,33,40,Bus,37,43,73,0,0,1,1,0,Low
Urban,Dry,Cloudy,70,50,Car,29,60,87,1,0,0,0,1,Low
Rural,Dry,Cloudy,55,40,Bus,26,66,96,0,1,1,0,1,Low
Urban,Damaged,Fog,69,50,Bus,21,89,22,1,1,1,0,0,High
Rural,Dry,Sunny,66,40,Truck,29,49,67,1,1,1,0,0,Medium
Urban,Dry,Fog,74,50,Truck,19,91,49,0,0,0,1,0,Medium
Urban,Dry,Fog,64,50,Bike,22,96,37,1,1,0,0,0,Medium
Rural,Dry,Storm,22,40,Car,25,88,34,1,0,1,1,0,Medium
Highway,Dry,Storm,115,80,Car,23,85,36,0,1,0,1,1,Medium
Rural,Wet,Cloudy,59,40,Bus,30,46,89,1,1,0,1,1,Medium
Rural,Dry,Storm,25,40,Bike,26,81,23,0,0,1,1,1,Medium
Rural,Dry,Storm,33,40,Bus,25,81,14,1,1,1,0,1,Medium
Rural,Wet,Storm,24,40,Truck,22,99,49,1,1,1,0,0,Medium
Urban,Wet,Sunny,47,50,Bus,33,41,90,1,0,0,1,0,Low
Highway,Wet,Fog,114,80,Truck,21,89,16,1,0,0,1,0,High
Urban,Dry,Sunny,69,50,Bike,28,45,60,1,0,1,1,0,Medium
Urban,Dry,Cloudy,58,50,Bus,25,49,61,0,1,0,1,0,Low
Urban,Dry,Rainy,60,50,Truck,28,70,31,0,0,1,1,1,Medium
Highway,Dry,Storm,87,80,Car,27,91,46,1,0,0,0,1,Medium
Urban,Wet,Storm,46,50,Bike,27,82,45,1,1,1,0,1,Medium
Highway,Dry,Cloudy,107,80,Car,28,51,88,0,0,0,0,0,Low
Urban,Dry,Sunny,39,50,Truck,31,52,67,1,0,0,0,1,Low
Highway,Damaged,Sunny,88,80,Car,33,50,66,0,0,0,1,1,Medium
Urban,Wet,Fog,69,50,Bike,21,98,40,1,1,1,0,0,High
Rural,Damaged,Storm,55,40,Bike,22,85,40,0,0,0,0,1,Medium
Rural,Damaged,Fog,33,40,Car,19,87,31,0,0,0,0,1,Medium
Highway,Damaged,Cloudy,113,80,Bus,27,63,80,1,1,0,1,0,Medium
Urban,Dry,Cloudy,68,50,Car,30,59,65,1,1,0,1,0,Medium
Urban,Dry,Sunny,65,50,Truck,30,52,74,0,0,1,1,0,Low
Highway,Dry,Rainy,83,80,Bike,24,81,68,0,0,0,1,1,Medium
Highway,Damaged,Cloudy,96,80,Bus,31,45,80,1,0,0,0,1,Medium
Rural,Dry,Rainy,31,40,Car,29,72,57,1,1,0,1,1,Medium
Rural,Dry,Storm,20,40,Car,25,88,22,0,1,1,1,0,Medium
Highway,Wet,Rainy,80,80,Car,28,93,57,0,0,1,0,1,Medium
Highway,Wet,Sunny,73,80,Car,29,30,61,0,0,0,0,1,Low
Urban,Damaged,Fog,58,50,Bus,19,93,40,0,0,0,1,1,Medium
Rural,Wet,Cloudy,55,40,Bike,30,40,79,0,1,0,0,1,Medium
Urban,Damaged,Fog,41,50,Bus,23,91,49,0,0,1,1,0,Medium
Highway,Dry,Cloudy,93,80,Car,30,66,99,0,0,1,0,0,Low
Urban,Dry,Storm,40,50,Car,23,89,26,1,1,1,0,1,Medium
Rural,Damaged,Sunny,60,40,Truck,31,48,89,1,1,0,0,0,Medium
Urban,Wet,Sunny,34,50,Car,34,57,65,1,0,1,1,0,Medium
Highway,Dry,Rainy,62,80,Bus,26,86,38,1,0,0,0,0,Medium
Urban,Wet,Cloudy,40,50,Car,29,66,76,0,0,1,0,1,Low
Rural,Wet,Fog,26,40,Bus,22,99,25,0,0,0,0,1,Medium
Urban,Dry,Fog,66,50,Car,23,92,38,0,1,0,0,0,Medium
Urban,Dry,Sunny,44,50,Bike,38,33,61,1,0,0,1,1,Low
Urban,Dry,Storm,42,50,Bus,26,96,21,0,1,1,0,1,Medium
Rural,Damaged,Fog,61,40,Bike,22,85,18,1,1,1,0,0,High
Highway,Dry,Sunny,66,80,Bus,30,48,92,0,1,0,1,1,Low
Rural,Dry,Rainy,27,40,Truck,24,73,51,0,0,1,0,0,Low
Rural,Dry,Cloudy,41,40,Car,31,50,73,0,0,1,0,1,Low
Urban,Wet,Rainy,74,50,Bus,25,86,59,1,0,1,0,0,Medium
Rural,Dry,Storm,23,40,Truck,20,90,39,1,1,0,0,1,Medium
Highway,Dry,Sunny,79,80,Car,31,55,88,0,1,1,0,0,Low
Urban,Dry,Storm,72,50,Truck,20,81,16,1,1,1,1,1,High
Highway,Dry,Cloudy,80,80,Bike,25,63,61,0,0,1,1,1,Low
Rural,Wet,Fog,57,40,Bus,22,99,47,1,1,1,1,1,High
Urban,Dry,Cloudy,61,50,Car,28,55,62,0,0,1,0,1,Low
Rural,Dry,Rainy,43,40,Truck,25,93,46,0,0,0,1,0,Medium
Highway,Dry,Storm,68,80,Truck,21,80,39,0,0,1,0,1,Medium
Urban,Dry,Cloudy,71,50,Bus,26,60,78,1,1,1,1,0,Medium
Highway,Damaged,Cloudy,104,80,Car,26,40,74,0,0,0,1,0,Medium
Rural,Wet,Cloudy,66,40,Car,28,49,84,0,0,1,1,0,Medium
Rural,Damaged,Sunny,61,40,Bus,37,47,98,1,0,1,0,0,Medium
Rural,Dry,Fog,30,40,Truck,24,96,13,1,1,1,0,1,Medium
Highway,Dry,Fog,72,80,Truck,19,96,14,1,0,1,0,0,Medium
Urban,Dry,Rainy,46,50,Bike,24,86,46,1,0,1,1,1,Medium
Rural,Dry,Storm,52,40,Car,23,99,19,1,0,1,1,1,High
Rural,Damaged,Sunny,40,40,Bike,34,40,92,0,0,0,0,1,Low
Highway,Wet,Cloudy,95,80,Bike,26,47,86,1,1,0,1,0,Medium
Urban,Dry,Rainy,46,50,Truck,29,86,66,1,1,1,0,1,Medium
Rural,Dry,Storm,32,40,Bike,26,82,13,1,1,0,0,0,Medium
Urban,Damaged,Storm,62,50,Car,22,88,38,1,0,0,1,0,High
Rural,Dry,Sunny,34,40,Truck,31,54,71,0,1,1,1,1,Low
Urban,Dry,Cloudy,77,50,Bus,29,40,94,0,1,0,0,0,Low
Highway,Dry,Sunny,77,80,Bus,35,32,98,1,0,1,0,1,Low
Rural,Damaged,Storm,54,40,Bike,27,91,32,0,1,1,1,0,High
Highway,Dry,Sunny,109,80,Bus,33,39,90,0,0,1,0,0,Low
Urban,Dry,Sunny,58,50,Bus,36,38,88,1,1,0,0,1,Low
Highway,Wet,Sunny,74,80,Bike,33,41,77,0,0,1,1,0,Low
Highway,Dry,Cloudy,78,80,Car,30,47,60,0,0,1,1,1,Low
Highway,Damaged,Sunny,106,80,Car,37,59,93,0,1,0,1,1,Medium
Urban,Damaged,Rainy,59,50,Truck,22,92,69,0,1,0,1,0,Medium
Rural,Dry,Fog,25,40,Truck,22,94,21,1,1,1,0,1,Medium
Highway,Dry,Sunny,117,80,Truck,37,54,99,0,1,0,1,0,Low
Highway,Dry,Rainy,67,80,Bus,29,93,40,1,0,1,0,1,Low
Urban,Wet,Storm,49,50,Car,26,85,46,1,1,0,1,0,Medium
Rural,Wet,Sunny,44,40,Car,32,54,89,0,1,1,1,0,Medium
Urban,Wet,Sunny,74,50,Bus,34,40,99,0,0,1,0,1,Medium
Rural,Dry,Sunny,41,40,Car,37,52,65,0,0,1,1,0,Low
